,label,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,angry,0.620479,0.11868525,0.945737,0.3476959,0.47992373,1.0,0.6481806,0.4718169,0.0,0.12982908,0.34256303,0.34924307,0.34735453,1.0,0.52434015,0.075899206,0.9989262,0.38628665,0.19948567,0.5007507
1,angry,0.3053573,0.18090644,0.23520645,0.34271508,0.061213873,0.0,0.12667145,0.00081722665,1.0,0.021781135,0.35096166,0.071315534,0.38930714,0.0,0.24697126,0.31135952,0.1281052,0.16698185,0.022237975,0.05559876
2,angry,0.37819862,0.24994041,0.7720749,0.3195277,0.24106367,0.0,0.2759649,0.30308935,0.0,0.17636813,0.17035155,0.59719753,0.32737386,1.0,0.54854614,0.12183849,0.9967102,0.9003703,0.11734984,0.2759744
3,angry,0.45773524,0.37682098,0.7529353,0.5622803,0.15495822,0.0,0.141288,0.6001413,1.0,0.032262456,0.107588604,0.38342306,0.2459973,1.0,0.341879,0.008723573,0.9998672,0.55984616,0.063247964,0.044055425
4,angry,0.57778347,0.27064988,0.77681273,0.46797326,0.21267141,0.0,0.10930625,0.17147815,0.0,0.016974526,0.08218052,0.10204894,0.38219345,1.0,0.38174358,0.026969336,0.99913836,0.6756366,0.17226568,0.112012275
5,angry,0.4049737,0.2233333,0.6167941,0.72359425,0.062398124,1.0,0.14772522,0.6973386,1.0,0.18729754,0.18911594,0.20793201,0.29967585,1.0,0.2123052,0.038287677,0.9966834,0.92373365,0.05875721,0.032513354
6,angry,0.5807586,0.3536554,0.81811446,0.3877133,0.07235008,0.0,0.14195248,0.013357599,1.0,0.01733036,0.3690898,0.3772536,0.45144793,0.0,0.5427428,0.21271987,0.015735094,0.15809026,0.38756523,0.025758404
7,angry,0.37327135,0.12906566,0.43909422,0.353461,0.46961474,1.0,0.15945268,0.4149223,0.0,0.27296153,0.23437864,0.20076014,0.2732717,1.0,0.18221161,0.008966642,0.9999318,0.9380996,0.041995637,0.04863205
8,angry,0.35862148,0.16463698,0.517241,0.43053746,0.08648795,0.0,0.13337627,0.07066807,0.0,0.027477693,0.076518804,0.18407884,0.35973462,0.0,0.11052348,0.12784411,0.6936544,0.09164214,0.10057936,0.031196402
9,angry,0.45161077,0.3665904,0.8014014,0.31616843,0.11316985,0.0,0.115339644,0.546507,1.0,0.019236796,0.23539871,0.7767368,0.52444583,0.0,0.3448164,0.114689596,0.9786557,0.22349635,0.01896151,0.023856707
10,angry,0.35712996,0.29936877,0.8361692,0.41043434,0.37660745,1.0,0.20181406,0.74347126,0.0,0.116097204,0.13610925,0.37345928,0.2859126,1.0,0.29449943,0.0073428852,0.99994326,0.88141274,0.031084757,0.119633496
11,angry,0.4412435,0.20282985,0.91794276,0.23622307,0.6098061,1.0,0.5129346,0.5151205,0.0,0.18705255,0.4003897,0.5116011,0.27597257,1.0,0.29158396,0.010776086,0.99966776,0.79885036,0.07116581,0.76677257
12,angry,0.20527735,0.11967016,0.79165244,0.47366434,0.08405034,0.0,0.15863593,0.39020988,0.0,0.07617941,0.24971874,0.24428076,0.29651952,1.0,0.22782199,0.061256297,0.9997279,0.9116008,0.13286223,0.043409843
13,angry,0.38014528,0.13764249,0.5808893,0.46337673,0.08732266,0.0,0.101912275,0.000648161,1.0,0.017804421,0.16841847,0.17863147,0.46650007,0.0,0.36840174,0.17209178,0.9454503,0.41523215,0.2211227,0.08873248
14,angry,0.6719824,0.49747142,0.93020684,0.33165127,0.07063315,1.0,0.10680033,0.099376366,0.0,0.02404723,0.17219973,0.159924,0.2683136,1.0,0.32273164,0.026580928,0.98761415,0.8979946,0.084322736,0.02746242
15,angry,0.80583256,0.46535286,0.7100039,0.3193419,0.24118303,0.0,0.14311542,0.6816954,1.0,0.065801114,0.21147864,0.7462317,0.25933224,1.0,0.42474756,0.009150035,0.99994075,0.98347855,0.086941235,0.05775831
16,angry,0.21457784,0.14749931,0.34756327,0.61120045,0.06202369,0.0,0.15408574,0.111072116,1.0,0.03274198,0.3190908,0.20228167,0.45390865,0.0,0.41264373,0.271301,0.9876944,0.11497381,0.008819396,0.046096105
17,angry,0.5569118,0.15089907,0.7261417,0.33255175,0.11441595,1.0,0.14688797,0.0040703216,0.0,0.03347759,0.22656047,0.24937102,0.51286364,0.0,0.54362446,0.44231805,0.022588054,0.09461938,0.11927415,0.09686283
18,angry,0.43352368,0.21818855,0.8706894,0.27256185,0.39156792,0.0,0.38284183,0.08246769,0.0,0.24170952,0.16685316,0.39456734,0.3096576,1.0,0.21997704,0.0639551,0.99995875,0.909545,0.055654366,0.7284755
19,angry,0.5634036,0.33047974,0.7909894,0.39391398,0.25689533,0.0,0.19698805,0.64082664,0.0,0.10453723,0.0584502,0.1748594,0.22538224,1.0,0.3180675,0.006033279,0.9999908,0.92952687,0.015842825,0.05529813
20,angry,0.27986237,0.18657695,0.7391508,0.3788679,0.22021048,0.0,0.22369507,0.08065637,0.0,0.080084376,0.10024426,0.18766199,0.18848206,1.0,0.236585,0.005368979,0.99998796,0.9556903,0.013490031,0.10580404
21,angry,0.5676961,0.24298993,0.75496566,0.27232343,0.40464288,0.0,0.72377837,0.6824409,0.0,0.16007513,0.102919586,0.1160221,0.21919559,1.0,0.29658848,0.0054480243,0.9999764,0.9273684,0.034462593,0.7757302
22,angry,0.42154,0.08757022,0.8767041,0.25419712,0.5636925,1.0,0.6826369,0.36053854,1.0,0.23057565,0.12087436,0.5507591,0.38223273,1.0,0.466351,0.04836436,0.9999888,0.7513012,0.055755425,0.741737
23,angry,0.402623,0.35404265,0.5022235,0.31569856,0.04639528,0.0,0.13141516,0.0050755683,0.0,0.0261959,0.47382402,0.7847912,0.3336644,0.0,0.56876355,0.4505528,0.034026742,0.27699724,0.639564,0.019802954
24,angry,0.5488283,0.3489973,0.73720783,0.506862,0.14174472,0.0,0.12294739,0.05779233,0.0,0.03427734,0.108540945,0.22699215,0.27346385,1.0,0.29564822,0.09671252,0.97339666,0.4444678,0.12515105,0.039417617
25,angry,0.6445577,0.22756296,0.5497657,0.32742146,0.30973223,1.0,0.1793956,0.06953767,0.0,0.36211485,0.15294278,0.38766447,0.42817798,1.0,0.41726995,0.05820529,0.9998776,0.9270277,0.034732237,0.10790237
26,angry,0.59141743,0.238604,0.8456571,0.47270542,0.12772039,0.0,0.26453838,0.22263125,0.0,0.050827656,0.22721215,0.112055294,0.21362871,1.0,0.3581284,0.010366953,0.99994123,0.97628695,0.33694875,0.050972514
27,angry,0.5963255,0.54559463,0.87884104,0.2584656,0.24487396,1.0,0.520742,0.9801664,1.0,0.045997072,0.3973789,0.4563402,0.31871942,1.0,0.43561715,0.039650187,0.9981133,0.7576006,0.09929143,0.38970175
28,angry,0.6054114,0.28732094,0.73429865,0.43939316,0.145229,0.0,0.1339542,0.8057795,0.0,0.045653336,0.15711878,0.38345933,0.3094904,1.0,0.45088407,0.05375187,0.96749896,0.7362819,0.021822754,0.09970433
29,angry,0.56922513,0.34547886,0.29928508,0.6756474,0.10862021,0.0,0.15378319,0.03731446,0.0,0.036183078,0.19847207,0.10694786,0.2667277,0.0,0.12700616,0.07052871,0.99509466,0.20338209,0.023579719,0.044861205
30,angry,0.4233199,0.43943498,0.68324614,0.58823156,0.07281466,0.0,0.2721944,0.89331895,0.0,0.04250449,0.11828438,0.23958276,0.194413,1.0,0.38438362,0.004603826,0.99994946,0.9808976,0.05506009,0.065419726
31,angry,0.3583719,0.4812929,0.662136,0.6232064,0.1303736,0.0,0.14315286,0.67834103,1.0,0.05866078,0.12175244,0.33417824,0.2225695,1.0,0.39415023,0.031202162,0.9997682,0.91551346,0.054936614,0.02473868
32,angry,0.46663725,0.14257964,0.9690438,0.28031623,0.50651467,0.0,0.37252656,0.85852355,1.0,0.3835987,0.29378504,0.83436066,0.33212125,1.0,0.40349272,0.022779778,0.99830437,0.8839558,0.037090316,0.08053389
33,angry,0.52735734,0.13704157,0.79822934,0.47725636,0.06650859,0.0,0.10892241,0.46196938,0.0,0.026469344,0.19891405,0.25146538,0.40434244,0.0,0.44777462,0.17236684,0.7095028,0.17957069,0.099878184,0.018434897
34,angry,0.25787216,0.26717865,0.72069395,0.48534772,0.06050867,0.0,0.10566468,0.5601394,0.0,0.11723541,0.21906805,0.18846357,0.31421807,0.0,0.5376988,0.31887507,0.9086201,0.2842515,0.13916817,0.044298925
35,angry,0.5488949,0.14350297,0.8449141,0.34177685,0.16844028,0.0,0.17703998,0.053544648,0.0,0.021738373,0.080451466,0.13554694,0.3722783,1.0,0.36052942,0.032427832,0.9992786,0.7972463,0.043703545,0.11235498
36,angry,0.4505919,0.1427957,0.85363376,0.58227605,0.10860873,0.0,0.10409598,0.68097275,0.0,0.047939688,0.1926695,0.36587062,0.26508224,1.0,0.4095381,0.09112085,0.9977314,0.38364622,0.08240134,0.11640877
37,angry,0.57979476,0.1975656,0.93009853,0.28276518,0.5344187,1.0,0.78793675,0.08206598,0.0,0.047286376,0.14951536,0.27202624,0.25121352,1.0,0.54753184,0.021987425,0.99943763,0.89098996,0.028638685,0.9239135
38,angry,0.40109462,0.24052082,0.5128528,0.73462087,0.06377607,0.0,0.11337814,0.0028683108,1.0,0.040801316,0.38170567,0.09316505,0.40483496,0.0,0.5206627,0.5094753,0.21329297,0.19639836,0.16984071,0.019557504
